window_id,n_skus_in_demand,n_skus_in_graph,makespan_h,total_h,spread_h,dropped,feasible,iterations,elapsed_s,graph_build_s,verify_ok,n_L14,prod_L14_h,chg_L14_h,load_L14_h,n_L17,prod_L17_h,chg_L17_h,load_L17_h,n_L19,prod_L19_h,chg_L19_h,load_L19_h,baseline_pred_h,baseline_actual_h,improvement_vs_pred_h,improvement_vs_pred_pct,improvement_vs_actual_h,improvement_vs_actual_pct
2025-W01-7d,7,7,18.4143,52.7778,1.3654,0,True,1,0.0024,0.0879,True,3,15.4143,3.0,18.4143,2,16.3145,1.0,17.3145,2,16.0489,1.0,17.0489,21.8681,22.0494,3.4537,15.79,3.6351,16.49
2025-W02-7d,33,33,57.6267,170.4106,1.9721,0,True,2,4.2417,0.2753,True,11,40.6546,15.0,55.6546,12,47.46,10.1667,57.6267,10,43.6293,13.5,57.1293,66.2815,67.8961,8.6548,13.06,10.2694,15.13
2025-W03-7d,26,26,65.2356,195.2445,0.2346,0,True,4,4.0079,0.1908,True,7,58.3344,6.6667,65.001,10,58.0078,7.0,65.0078,9,52.2356,13.0,65.2356,75.7353,75.7325,10.4997,13.86,10.4969,13.86
2025-W04-7d,42,42,78.1329,221.1083,12.2169,0,True,1,4.272,0.3827,True,10,48.916,17.0,65.916,16,64.8928,12.1667,77.0594,16,58.7162,19.4167,78.1329,90.4091,90.3683,12.2763,13.58,12.2354,13.54
2025-W05-7d,35,35,76.0776,227.8361,0.3798,0,True,1,4.3703,0.2616,True,8,63.0776,13.0,76.0776,14,65.8941,10.1667,76.0607,13,60.1978,15.5,75.6978,91.4362,80.4397,15.3586,16.8,4.3621,5.42
2025-W06-7d,38,38,91.7878,263.2791,10.7206,0,True,1,4.2853,0.3044,True,13,62.2339,18.8333,81.0672,14,79.4241,11.0,90.4241,11,72.6212,19.1667,91.7878,102.8374,103.8369,11.0496,10.74,12.0491,11.6
2025-W07-7d,26,26,62.2496,185.4677,0.987,0,True,4,4.0006,0.2164,True,7,52.2626,9.0,61.2626,9,55.2888,6.6667,61.9554,10,49.583,12.6667,62.2496,101.7127,99.1875,39.463,38.8,36.9379,37.24
2025-W08-7d,35,35,103.6535,305.3008,4.3616,0,True,1,4.0875,0.2822,True,12,83.7919,15.5,99.2919,12,91.8553,10.5,102.3553,11,89.1535,14.5,103.6535,112.9766,107.9525,9.3231,8.25,4.299,3.98
2025-W09-7d,31,31,53.6526,153.4531,5.073,0,True,1,4.1905,0.2277,True,7,37.0796,11.5,48.5796,12,40.7209,10.5,51.2209,12,33.9026,19.75,53.6526,69.0673,67.2197,15.4147,22.32,13.5671,20.18
2025-W10-7d,38,38,101.9286,281.9322,20.9008,0,True,1,4.6608,0.3206,True,16,58.6945,22.3333,81.0278,2,97.9757,1.0,98.9757,20,81.4286,20.5,101.9286,99.5522,98.3483,-2.3764,-2.39,-3.5803,-3.64
2025-W11-7d,33,33,75.9283,224.4069,2.4891,0,True,1,4.074,0.235,True,7,61.9392,11.5,73.4392,12,64.0394,11.0,75.0394,14,58.9283,17.0,75.9283,109.105,111.2753,33.1767,30.41,35.347,31.77
2025-W12-7d,30,30,69.6149,208.5162,0.2255,0,True,2,4.1462,0.2004,True,10,57.6149,12.0,69.6149,10,60.5118,9.0,69.5118,10,56.6394,12.75,69.3894,102.004,107.5069,32.3891,31.75,37.892,35.25
2025-W13-7d,32,32,97.987,291.7768,1.5369,0,True,1,4.0431,0.2965,True,7,83.987,14.0,97.987,11,87.2834,9.1667,96.4501,14,79.8398,17.5,97.3398,117.5476,116.2344,19.5606,16.64,18.2475,15.7
2025-W14-7d,45,45,88.1405,245.0855,18.8966,0,True,1,4.1706,0.4375,True,13,47.7438,21.5,69.2438,14,75.7012,12.0,87.7012,18,66.2238,21.9167,88.1405,101.7103,102.1719,13.5699,13.34,14.0315,13.73
2025-W15-7d,34,34,91.9109,273.1491,2.229,0,True,1,4.5762,0.2952,True,8,79.0152,10.6667,89.6818,13,82.2442,9.6667,91.9109,13,75.3897,16.1667,91.5563,122.3004,120.2181,30.3895,24.85,28.3072,23.55
