window_id,n_skus,move_strategy,delta_balance_h,max_no_improve,eps,makespan_h,total_h,spread_h,dropped,iterations,elapsed_s,feasible,verify_ok
2025-W01-7d,7,first_improvement,0.5,20,0.0001,18.4687,52.9102,2.394,0,6,0.319,True,True
2025-W02-7d,33,first_improvement,0.5,20,0.0001,62.4749,186.1461,1.1834,0,8,6.418,True,True
2025-W30-7d,45,first_improvement,0.5,20,0.0001,107.1071,316.6041,4.3254,0,2,37.128,True,True
2025-W01-7d,7,first_improvement,0.5,20,0.001,18.4687,52.9102,2.394,0,6,0.005,True,True
2025-W02-7d,33,first_improvement,0.5,20,0.001,62.4749,186.1461,1.1834,0,8,6.413,True,True
2025-W30-7d,45,first_improvement,0.5,20,0.001,107.1071,316.6041,4.3254,0,2,27.079,True,True
2025-W01-7d,7,first_improvement,0.5,50,0.0001,18.4687,52.9102,2.394,0,6,0.003,True,True
2025-W02-7d,33,first_improvement,0.5,50,0.0001,62.4749,186.1461,1.1834,0,8,6.073,True,True
2025-W30-7d,45,first_improvement,0.5,50,0.0001,107.1071,316.6041,4.3254,0,2,26.13,True,True
2025-W01-7d,7,first_improvement,0.5,50,0.001,18.4687,52.9102,2.394,0,6,0.003,True,True
2025-W02-7d,33,first_improvement,0.5,50,0.001,62.4749,186.1461,1.1834,0,8,6.115,True,True
2025-W30-7d,45,first_improvement,0.5,50,0.001,107.1071,316.6041,4.3254,0,2,25.389,True,True
2025-W01-7d,7,first_improvement,0.5,100,0.0001,18.4687,52.9102,2.394,0,6,0.004,True,True
2025-W02-7d,33,first_improvement,0.5,100,0.0001,62.4749,186.1461,1.1834,0,8,6.029,True,True
2025-W30-7d,45,first_improvement,0.5,100,0.0001,107.1071,316.6041,4.3254,0,2,25.041,True,True
2025-W01-7d,7,first_improvement,0.5,100,0.001,18.4687,52.9102,2.394,0,6,0.004,True,True
2025-W02-7d,33,first_improvement,0.5,100,0.001,62.4749,186.1461,1.1834,0,8,6.088,True,True
2025-W30-7d,45,first_improvement,0.5,100,0.001,107.1071,316.6041,4.3254,0,2,24.957,True,True
2025-W01-7d,7,first_improvement,2.0,20,0.0001,18.4687,52.9102,2.394,0,6,0.004,True,True
2025-W02-7d,33,first_improvement,2.0,20,0.0001,62.4749,186.1461,1.1834,0,8,6.123,True,True
2025-W30-7d,45,first_improvement,2.0,20,0.0001,107.1071,316.6041,4.3254,0,2,25.101,True,True
2025-W01-7d,7,first_improvement,2.0,20,0.001,18.4687,52.9102,2.394,0,6,0.003,True,True
2025-W02-7d,33,first_improvement,2.0,20,0.001,62.4749,186.1461,1.1834,0,8,6.035,True,True
2025-W30-7d,45,first_improvement,2.0,20,0.001,107.1071,316.6041,4.3254,0,2,27.99,True,True
2025-W01-7d,7,first_improvement,2.0,50,0.0001,18.4687,52.9102,2.394,0,6,0.004,True,True
2025-W02-7d,33,first_improvement,2.0,50,0.0001,62.4749,186.1461,1.1834,0,8,6.046,True,True
2025-W30-7d,45,first_improvement,2.0,50,0.0001,107.1071,316.6041,4.3254,0,2,28.468,True,True
2025-W01-7d,7,first_improvement,2.0,50,0.001,18.4687,52.9102,2.394,0,6,0.009,True,True
2025-W02-7d,33,first_improvement,2.0,50,0.001,62.4749,186.1461,1.1834,0,8,6.082,True,True
2025-W30-7d,45,first_improvement,2.0,50,0.001,107.1071,316.6041,4.3254,0,2,25.41,True,True
2025-W01-7d,7,first_improvement,2.0,100,0.0001,18.4687,52.9102,2.394,0,6,0.006,True,True
